trial,gain,gf,gf_lat,gf_per_firing_cell,ttmn,ttmn_lag,psi
0,1.0474480030794517,0.5,54.80000000000001,1.0,0.5,0.8999999999999773,0.5
1,0.9524600995494465,0.0,,,0.0,,0.0
2,1.26633111178273,1.0,51.799999999999955,1.0,1.0,0.900000000000091,1.0
3,1.0394343523241072,0.5,57.59999999999991,1.0,0.5,0.900000000000091,0.5
4,0.8207790753505922,0.0,,,0.0,,0.0
5,1.1426156873622932,0.5,33.59999999999991,1.0,0.5,0.900000000000091,0.5
6,1.6173432221047384,1.0,23.700000000000273,1.0,1.0,0.8999999999996362,1.0
7,1.4179167984490997,1.0,30.700000000000273,1.0,1.0,0.900000000000091,1.0
8,0.771462525866152,0.0,,,0.0,,0.0
9,0.627155416176565,0.0,,,0.0,,0.0
10,0.7946914965158783,0.0,,,0.0,,0.0
11,1.0153535617979386,0.5,46.0,1.0,0.5,0.9000000000005457,0.5
12,0.42433211230892276,0.0,,,0.0,,0.0
13,0.922499461791079,0.0,,,0.0,,0.0
14,0.6316831432000419,0.0,,,0.0,,0.0
15,0.7633894384278344,0.0,,,0.0,,0.0
16,0.8181837887609138,0.0,,,0.0,,0.0
17,0.889923417551414,0.0,,,0.0,,0.0
18,1.1638903906430753,0.5,54.00000000000455,1.0,0.5,0.8999999999996362,0.5
19,1.4686956284735875,1.0,58.900000000004184,1.0,1.0,0.9000000000005457,1.0
20,0.9537146796253183,0.0,,,0.0,,0.0
21,1.6550232905860551,1.0,33.50000000000637,1.0,1.0,0.8999999999996362,1.0
22,0.7825031929612328,0.0,,,0.0,,0.0
23,1.1383749498402966,1.0,31.30000000000473,1.0,1.0,0.8999999999996362,1.0
24,1.3953000140353198,0.5,47.900000000003274,1.0,0.5,0.9000000000014552,0.5
25,1.03527007445914,0.0,,,0.0,,0.0
26,0.7602346272830365,0.0,,,0.0,,0.0
27,0.711884111029083,0.0,,,0.0,,0.0
28,0.8447086432892645,0.5,33.400000000001455,1.0,0.5,0.8999999999996362,0.5
29,1.0845725454323099,0.5,56.49999999999818,1.0,0.5,0.8999999999996362,0.5
30,0.689184527673396,0.0,,,0.0,,0.0
31,0.925775944260312,0.0,,,0.0,,0.0
32,0.9429837194277394,0.5,50.89999999999418,1.0,0.5,0.8999999999996362,0.5
33,1.2206820587471625,0.0,,,0.0,,0.0
34,1.0823610565911477,0.5,43.89999999999236,1.0,0.5,0.9000000000014552,0.5
35,1.1399973271780743,1.0,51.499999999990905,1.0,1.0,0.8999999999996362,1.0
36,0.7857892845626228,0.0,,,0.0,,0.0
37,0.9533353516315823,0.5,41.39999999998872,1.0,0.5,0.8999999999996362,0.5
38,1.335160829072657,0.0,,,0.0,,0.0
39,1.7343419523026047,1.0,18.599999999985812,1.0,1.0,0.8999999999996362,1.0
