trial,gain,gf,gf_lat,gf_per_firing_cell,ttmn,ttmn_lag,psi
0,1.0474480030794517,0.5,54.69999999999999,1.0,0.0,,0.0
1,0.9524600995494465,0.0,,,0.0,,0.0
2,1.26633111178273,1.0,31.40000000000009,1.0,0.0,,0.0
3,1.0394343523241072,0.5,41.299999999999955,1.0,0.0,,0.0
4,0.8207790753505922,0.0,,,0.0,,0.0
5,1.1426156873622932,1.0,24.700000000000273,1.0,0.0,,0.0
6,1.6173432221047384,1.5,17.600000000000364,1.5,0.0,,0.0
7,1.4179167984490997,1.0,30.700000000000273,1.0,0.0,,0.0
8,0.771462525866152,0.0,,,0.0,,0.0
9,0.627155416176565,0.0,,,0.0,,0.0
10,0.7946914965158783,0.5,42.20000000000073,1.0,0.0,,0.0
11,1.0153535617979386,0.5,34.400000000000546,1.0,0.0,,0.0
12,0.42433211230892276,0.0,,,0.0,,0.0
13,0.922499461791079,0.0,,,0.0,,0.0
14,0.6316831432000419,0.0,,,0.0,,0.0
15,0.7633894384278344,0.0,,,0.0,,0.0
16,0.8181837887609138,0.5,38.80000000000291,1.0,0.0,,0.0
17,0.889923417551414,0.0,,,0.0,,0.0
18,1.1638903906430753,0.5,19.200000000004366,1.0,0.0,,0.0
19,1.4686956284735875,1.0,36.200000000005275,1.0,0.0,,0.0
20,0.9537146796253183,0.5,36.80000000000564,1.0,0.0,,0.0
21,1.6550232905860551,1.0,27.900000000006003,1.0,0.0,,0.0
22,0.7825031929612328,0.5,40.30000000000837,1.0,0.0,,0.0
23,1.1383749498402966,1.0,29.900000000005093,1.0,0.0,,0.0
24,1.3953000140353198,1.0,38.50000000000364,1.0,0.0,,0.0
25,1.03527007445914,0.5,63.00000000000546,1.0,0.0,,0.0
26,0.7602346272830365,0.0,,,0.0,,0.0
27,0.711884111029083,0.0,,,0.0,,0.0
28,0.8447086432892645,0.5,18.200000000000728,1.0,0.0,,0.0
29,1.0845725454323099,1.0,45.29999999999927,1.0,0.0,,0.0
30,0.689184527673396,0.0,,,0.0,,0.0
31,0.925775944260312,0.5,55.599999999996726,1.0,0.0,,0.0
32,0.9429837194277394,0.0,,,0.0,,0.0
33,1.2206820587471625,0.5,43.19999999999345,1.0,0.0,,0.0
34,1.0823610565911477,1.0,34.39999999999236,1.0,0.0,,0.0
35,1.1399973271780743,1.0,49.09999999999127,1.0,0.0,,0.0
36,0.7857892845626228,0.0,,,0.0,,0.0
37,0.9533353516315823,0.5,27.499999999989086,1.0,0.0,,0.0
38,1.335160829072657,0.5,47.09999999998763,1.0,0.0,,0.0
39,1.7343419523026047,1.5,21.29999999998472,1.5,0.0,,0.0
